name,almaMater,networth
Patrick Soon-Shiong,"['University of California Los Angeles', 'University of British Columbia', 'University of the Witwatersrand']",1.18E10
Paul Allen,Washington State University,1.76E10
Paul Desmarais,University of Ottawa,4.5E9
Paul L. Foster,Baylor University,1.5E9
Paul Singer (businessman),"['University of Rochester', 'Juris Doctor', 'Bachelor of Science', 'Harvard Law School']",2.1E9
Paul Tudor Jones,University of Virginia,4.7E9
Pavel Durov,Saint Petersburg State University,2.6E8
Pavel Tykač,Czech Technical University in Prague,1.03E9
Peter Buck (restaurateur),"['Columbia University', 'Bowdoin College', 'Doctor of Humane Letters']",2.6E9
Peter Lynch,"['Boston College', 'Wharton School of the University of Pennsylvania']",3.52E8
Phaedra Parks,"['Wesleyan College', 'Juris Doctor', 'Bachelor of Arts', 'University of Georgia School of Law']",2000000.0
P. N. C. Menon,Sree Kerala Varma College,1.23E9
Pansy Ho,Santa Clara University,6.4E9
Patrice Motsepe,"['University of the Witwatersrand', 'University of Swaziland']",2.9E9
Patricia Matte,Pontifical Catholic University of Chile,2.8E9
Phil Knight,"['Stanford University', 'University of Oregon']",2.81E10
Philip Anschutz,University of Kansas,1.01E10
Phillip Ean Cohen,"['University of Melbourne', 'Harvard Business School']",500.0
Phillip Frost,"['Physician', 'Bachelor of Arts']",4.9E9
Poju Zabludowicz,Tel Aviv University,1.5E9
Prem Watsa,"['University of Western Ontario', 'Indian Institute of Technology Madras']",1.0E9
Qasim Ibrahim,Open University Malaysia,6.0E8
Qi Shi,"['Fudan University', 'Shanghai Jiao Tong University']",4.2E9
Robert Bass,"['Stanford University', 'Yale University']",5.5E9
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
Robert Englund,Royal Academy of Dramatic Art,1.4E7
Robert Holding,University of Utah,2.6E9
Robert J. Fisher,"['Princeton University', 'Stanford University']",1.6E9
Robert L. Johnson,"['Princeton University', 'University of Illinois at Urbana–Champaign']",5.5E8
Robert Miller (businessman),Rider University,2.5E9
Robert Pera,University of California San Diego,2.1E9
Robin Li,"['Peking University', 'University at Buffalo']",1.43E10
Rocky Wirtz,"['Northwestern University', 'North Shore Country Day School']",4.2E9
Roger Marino,Northeastern University,1.2E9
Ron Daniel,"['Wesleyan University', 'Harvard Business School']",50.0
Ronald McAulay,University of Glasgow,2.6E9
Ronald Mourad Cohen,"['University of Oxford', 'Harvard Business School']",2.2E8
Ross Perot,"['United States Naval Academy', 'Texarkana College']",4.1E9
Roy E. Disney,Pomona College,1.2E9
Rupert Murdoch,Worcester College Oxford,1.17E10
Randa Williams,"['Rice University', 'University of Houston']",4.1E9
Randal J. Kirk,"['Radford University', 'University of Virginia School of Law']",3.8E9
Randy Lerner,"['Columbia University', 'Columbia Law School']",1.1E9
Reed Hastings,"['Stanford University', 'Bowdoin College', 'Computer science']",1.72E9
Reid Hoffman,"['Stanford University', 'University of Oxford']",4.6E9
Richard Benjamin Harrison,Lexington Senior High School (North Carolina),8000000.0
Richard LeFrak,"['Columbia University', 'Amherst College']",6.5E9
Richard Rainwater,"['University of Texas at Austin', 'Stanford Graduate School of Business']",2.8E9
Riley P. Bechtel,"['Stanford University', 'University of California Davis']",3.9E9
Rafael del Pino (businessman),MIT Sloan School of Management,5.5E9
Rajan Raheja,University of Mumbai,1.99E9
Rajat Gupta,"['Indian Institute of Technology Delhi', 'Harvard Business School']",1.0E8
Rajen A. Kilachand,Boston University,9.0E8
Rakesh Jhunjhunwala,"['University of Mumbai', 'Institute of Chartered Accountants of India']",1.9E9
Sara Blakely,Florida State University,1.0E9
