name,ivy_league,education,networth,birthYear
Alexander Spanos,False,['University of the Pacific (United States)'],1.69E9,1923
Alexei Mordashov,False,['Northumbria University'],1.32E10,1965
Alfred E. Mann,False,['University of California Los Angeles'],1.5E9,1925
Alice Walton,False,['Trinity University (Texas)'],3.25E10,1949
Aliko Dangote,False,['Al-Azhar University'],1.8E10,1957
Alisher Usmanov,False,['Moscow State Institute of International Relations'],1.29E10,1953
Alistair MacLean,False,"['University of Glasgow', 'Hillhead High School', 'Inverness Royal Academy', 'Daviot_School']",73347.0,1922
Allen Stanford,False,"['Eastern Hills High School', 'Baylor University', 'Finance', 'Bachelor of Arts']",0.0,1950
Aloke Lohia,False,"['University of Delhi', 'Bachelor of Commerce']",1.3E9,1958
Amar Bose,False,"['Massachusetts Institute of Technology', 'Doctor of Philosophy']",1.0E9,1929
Antônio Ermírio de Moraes,False,['Colorado School of Mines'],3.1E9,1928
Archie Aldis Emmerson,False,['Redding California'],3.9E9,1929
Arif Naqvi,False,"['London School of Economics', 'Karachi Grammar School']",5.0E8,1960
Arkady Rotenberg,False,['D. Mendeleev University of Chemical Technology of Russia'],1.26E9,1951
Arnaud Lagardère,False,['Paris Dauphine University'],2.4E9,1961
Arte Moreno,False,['University of Arizona'],1.81E9,1946
Arthur Blank,False,['Babson College'],2.6E9,1942
Austen S. Cargill II,False,"['Oregon State University', 'University of Minnesota']",3.3E9,1951
Aydın Doğan,False,['Marmara University'],1.0E9,1936
Azim Premji,False,['Stanford University'],1.65E10,1945
Adam Fleming (businessman),False,['Eton College'],1.5E9,1948
Adi Godrej,False,['MIT Sloan School of Management'],4.0E9,1942
Adrian Swire,False,"['Eton College', 'Wellesley House School']",2.4E9,1932
Ajay Kalsi,False,"['London School of Economics', 'University of Cambridge']",1.2E9,1960
Ajay Piramal,False,['University of Mumbai'],1.6E9,1955
Al-Waleed bin Talal,False,"['Syracuse University', 'Menlo College']",2.4E10,1955
Al Pacino,False,['HB Studio'],1.35E8,1940
Alan Casden,False,['University of Southern California'],1.2E9,1945
Alan Howard (hedge fund manager),False,['Imperial College London'],1.5E9,1963
Alastair Salvesen,False,['Fettes College'],1.0E9,1941
Barbra Streisand,False,['Erasmus Hall High School'],6.5E8,1942
Barron Hilton,False,['University of Southern California'],2.5E9,1927
Bernard Arnault,False,['École Polytechnique'],3.61E10,1949
Bernard Ashley (businessman),False,['Whitgift School'],6.0E7,1926
Bernard Marcus,False,"['Rutgers University', 'Rutgers University']",3.5E9,1929
Bernard Spitzer,False,['City College of New York'],5.0E8,1924
Bharat Desai,False,"['University of Michigan', 'Indian Institute of Technology Bombay']",2.5E9,1953
Bhavin Turakhia,False,"['Ruparel College', 'Arya Vidya Mandir', 'Sydenham College']",4.0E8,1979
Bill Gross,False,"['Duke University', 'UCLA Anderson School of Management']",2.3E9,1944
Bill Koch (businessman),False,['Culver Academies'],2.0E9,1940
Biz Stone,False,"['University of Massachusetts', 'Northeastern University']",2.0E8,1974
Bjørn Kjos,False,"['University of Oslo', 'Royal Norwegian Air Force Academy']",300.0,1946
Blair Parry-Okeden,False,['La Pietra'],9.8E9,1950
Boaz Weinstein,False,['University of Michigan'],4.5E8,1973
Bob McNair,False,['University of South Carolina'],3.3E9,1937
Bob Parsons,False,['University of Baltimore'],2.3E9,1950
Bobby Murphy (businessman),False,['Stanford University'],1.8E9,1989
Boris Muzalev,False,['Odessa National Medical University'],1.61E8,1959
Brian Acton,False,['Stanford University'],4.6E9,1972
Brian Chesky,False,['Rhode Island School of Design'],3.3E9,1981
Bruce Halle,False,['Eastern Michigan University'],5.1E9,1930
Bülent Eczacıbaşı,False,"['Massachusetts Institute of Technology', 'University of London', 'Deutsche Schule Istanbul', 'Chemical engineering']",1.7E9,1949
Baba Kalyani,False,"['Massachusetts Institute of Technology', 'Birla Institute of Technology and Science']",2.7E9,1949
Charles Mbire,False,"['University of Essex', 'University of Leicester']",200.0,1959
Charles R. Schwab,False,['Stanford University'],5.3E9,1937
Charles Sirois,False,"['Laval University', 'Université de Sherbrooke']",8.11E8,1954
Chen Guangbiao,False,"['Peking University', 'Tsinghua University', 'Nanjing University', 'Nanjing University of Chinese Medicine', 'Master of Business Administration']","['4.0E8', '8.1E8']",1968
Cheng Wai Keung,False,"['University of Chicago', 'Indiana University']",7.55E8,1951
Cher Wang,False,['University of California'],8.8E9,1958
Chey Tae-won,False,['University of Chicago'],4.2E9,1960
Chris Evans (presenter),False,"['University Academy Warrington', 'Sir Thomas Boteler Church of England High School']",5.0E7,1966
Chris Rokos,False,"['University of Oxford', 'Eton College']",1.0,1970
Christoffel Wiese,False,"[""Paarl Boys' High School""]",5.3E9,1941
Chung Mong-koo,False,"['Hanyang University', 'Hanyang University']",6.8E9,1938
C. Dean Metropoulos,False,['Babson College'],2.4E9,1946
Craig McCaw,False,['Stanford University'],1.84E9,1949
Craig Newmark,False,['Case Western Reserve University'],4.0E8,1952
Crispin Odey,False,['Christ Church Oxford'],1.1E9,1959
Carl Bennet,False,['University of Gothenburg'],2.8E9,1951
Carlos Bulgheroni,False,['University of Buenos Aires'],5.1E9,1945
Carlos Slim,False,"['National Autonomous University of Mexico', 'Civil engineering']",5.3E10,1940
Charlene de Carvalho-Heineken,False,"['Leiden University', 'Rijnlands Lyceum Foundation']",1.34E10,1954
Charles Brandes,False,"['Bucknell University', 'San Diego State University']",1.1E9,1943
Charles Bronfman,False,['McGill University'],2.1E9,1931
Charles Koch,False,"['Massachusetts Institute of Technology', 'Master of Science']",4.33E10,1935
Daryl Katz,False,"['University of Alberta', 'Juris Doctor', 'Bachelor of Arts and Science']",3.5E9,1961
David Azrieli,False,"['Technion – Israel Institute of Technology', 'Carleton University', 'Bachelor of Science']",3.1E9,1922
David E. Shaw,False,"['Stanford University', 'University of California San Diego']",3.6E9,1951
David Filo,False,"['Stanford University', 'Tulane University']",2.6E9,1966
David Geffen,False,['University of Texas at Austin'],6.5E9,1943
David Harding (financier),False,"[""St Catharine's College Cambridge"", 'Pangbourne College']",1.0E9,1961
David Koch,False,"['Massachusetts Institute of Technology', 'Master of Science', 'Chemical engineering', 'Master of Science']",4.33E10,1940
David Ross (businessman),False,"['University of Nottingham', 'Uppingham School']",1.0E9,1965
David Rubenstein,False,"['University of Chicago', 'Duke University']",2.5E9,1949
David Tepper,False,"['Carnegie Mellon University', 'University of Pittsburgh']",1.14E10,1957
DeShawn Snow,False,"['Michigan State University', 'Wayne Memorial High School']",1500000.0,1973
DeVon Franklin,False,['University of Southern California'],1000000.0,1978
Deborah Meaden,False,['City College Brighton & Hove'],4.0E7,1959
Declan Donnelly,False,"[""St Cuthbert's High School""]",62.0,1975
Dee Haslam,False,['University of Tennessee'],1.8E9,1955
Denis O'Brien,False,"['Boston College', 'University College Dublin']",5.8E9,1958
Denise Coates,False,['University of Sheffield'],3.9E9,1967
Diego Della Valle,False,['University of Bologna'],1.6E9,1953
Dilip Shanghvi,False,['University of Calcutta'],1.75E10,1955
Ding Lei,False,['University of Electronic Science and Technology of China'],1.06E10,1971
Dinu Patriciu,False,['Ion Mincu University of Architecture and Urbanism'],2.7E9,1950
Dmitry Kamenshchik,False,['Moscow State University'],4.8E9,1968
Dmitry Mazepin,False,['Moscow State Institute of International Relations'],1.4E9,1968
Don Hankey,False,['University of Southern California'],2.3E9,1943
Donald Bren,False,['University of Washington'],1.51E10,1932
Donald Fisher,False,['University of California Berkeley'],3.3E9,1928
Donald Sterling,False,"['California State University Los Angeles', 'Southwestern Law School']",3.1E9,1934
Drayton McLane Jr.,False,"['Michigan State University', 'Baylor University']",2.0E9,1936
Drew Houston,False,['Massachusetts Institute of Technology'],1.3E9,1983
Dan Gilbert (businessman),False,"['Michigan State University', 'Wayne State University Law School']",3.9E9,1962
Şevket Sabancı,False,"['University of Manchester Institute of Science and Technology', 'Textile manufacturing']",7.0,1936
Edgar Bronfman Sr.,False,"['Williams College', 'McGill University']",2.6E9,1929
