name,education,networth
Dan Gilbert (businessman),"['Michigan State University', 'Wayne State University Law School']",3.9E9
Daniel Willis James,['Amherst College'],2.6E7
Şevket Sabancı,"['University of Manchester Institute of Science and Technology', 'Textile manufacturing']",7.0
Edgar Bronfman Sr.,"['Williams College', 'McGill University']",2.6E9
Edgar E. Rand,['Webb School (Bell Buckle Tennessee)'],2523854.0
Edward J. DeBartolo Jr.,['University of Notre Dame'],2.7E9
Edward Johnson III,"['Milton Academy', 'Tabor Academy (Massachusetts)']",7.5E9
Edward Julius Berwind,['United States Naval Academy'],3.5E7
Edward P. Roski,"['University of Southern California', 'Bachelor of Science']",4.0E9
Edward W. Stack,['St. John Fisher College'],1.15E9
Edwin Davies,['Farnworth Grammar School'],100.0
Edwin Soeryadjaya,['University of Southern California'],1.0
Eike Batista,['RWTH Aachen University'],9.0E8
Elaine Wynn,['George Washington University'],1.2E9
Eli Broad,['Michigan State University'],7.4E9
Eliodoro Matte,"['Booth School of Business', 'Pontifical Catholic University of Chile']",2.7E9
Elizabeth Holmes,['Stanford University'],3.6E9
Elizabeth Noyce,['Tufts University'],1.0E8
Ellis Abraham Franklin,['Manchester Grammar School'],511000.0
Ellis Short,['Missouri University of Science and Technology'],2.4E9
Elon Musk,"['Pretoria Boys High School', 'Waterkloof House Preparatory School']",1.07E10
Elwood Haynes,"['Johns Hopkins University', 'Worcester Polytechnic Institute', 'Chemistry', 'Metallurgy', 'Biology']",2850000.0
Emil Hurezeanu,"['University of Virginia', 'Boston University', 'Babeș-Bolyai University', 'Master of Arts']",6.0
Emilio Azcárraga Jean,"['Universidad Iberoamericana', 'Lakefield College School']",2.0E9
Emilio Botín,['University of Deusto'],1.1E9
Emmanuel Besnier,"[""Lycée_de_l'Immaculée-Conception""]",6.7E9
Enrique K. Razon,"['De La Salle University', 'Business administration']",5.5E9
Eric Lefkofsky,['University of Michigan'],1.7E9
Eric R. George,"['Michigan State University', 'Marshall University']",2.25E8
Eric Trump,"['Georgetown University', 'The Hill School', 'Trinity School (New York City)']",1.5E8
Erick Thohir,"['Glendale Community College (California)', 'National University (California)']",9.6E8
Erol Sabancı,['Harris Manchester College Oxford'],1.3E9
Eugene Kaspersky,"['Moscow State University', 'Institute of Cryptography Telecommunications and Computer Science']",1.04E9
Eugene Shvidler,"['Fordham University', 'Gubkin Russian State University of Oil and Gas']",1.2E9
Eva Gonda de Rivera,['Monterrey Institute of Technology and Higher Education'],6.8E9
Evan Spiegel,['Stanford University'],2.1E9
Evelyn Robert de Rothschild,"['Trinity College Cambridge', 'Harrow School']",2.0E10
Francois-Xavier Souvay,['HEC Montréal'],1.15E8
Frank Fertitta III,['University of Southern California'],1.4E9
Frank Rainieri,"[""Saint Joseph's University""]",1.0E9
François-Henri Pinault,['HEC Paris'],1.38E10
Fred DeLuca,['University of Bridgeport'],3.5E9
Fredrik Lundberg,['Stockholm School of Economics'],1.5E9
Fahd Hariri,"[""École Spéciale d'Architecture""]",1.07E9
Farhad Moshiri (businessman),['University College London'],1.84E9
Fazle Hasan Abed,"['University of Glasgow', 'Dhaka College', 'Naval architecture']",2.7E9
Florentino Pérez,['Technical University of Madrid'],2.0E9
Gautam Singhania,['Cathedral and John Connon School'],1.4E9
Gayle Cook,['Indiana University Bloomington'],5.8E9
Geoffrey Edelsten,"['University of Melbourne', 'Mount Scopus Memorial College', 'Princes Hill Secondary College']",6.3E7
George P. Mitchell,['Texas A&M University'],2.0E9
George R. Roberts,"['University of California Hastings College of the Law', 'Claremont McKenna College']",5.1E9
George Soros,['London School of Economics'],2.45E10
Gerald J. Ford,['Southern Methodist University'],2.1E9
Geraldine Hughes,['University of California Los Angeles'],500000.0
Gert Verhulst,['Autodidacticism'],1.12E8
Gigi Pritzker,['Stanford University'],1.9E9
Gina Rinehart,"['University of Sydney', ""St Hilda's Anglican School for Girls""]",9.8E9
Galen Weston,['University of Western Ontario'],9.8E9
Glenn Beck,['Sehome High School'],9.0E7
Glenn Dubin,['Stony Brook University'],2.0E9
Graeme Hart,"['University of Otago', 'Master of Business Administration', 'Mount Roskill Grammar School', 'New Zealand', 'Auckland']",8.1E9
Graham Tuckwell,['Australian National University'],4.6E8
Greg Coffey,['Macquarie University'],7.43E8
Guo Guangchang,['Fudan University'],7.3E9
Gustavo Cisneros,"['Babson College', 'Suffield Academy']",4.0E9
